ID,District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield
1560,Jalna,Kharif,2006,Sunflower,25.71521739,19.8,33.9,0.09935127,-0.671189922,72.95652174,-0.039249453,-0.7956282159999999,20.49891304,0.11900842,0.208604193,11.50978261,3.768109738,15.89410926,4.764130435,0.54
1643,Dharwad,Rabi,2007,Groundnut,24.58111111,17.4,34.8,1.721024091,2.574109402,78.01333333,-1.873516657,3.108912174,20.34222222,-2.177090396,4.973370691,8.95,4.966012283,2.091170197,3.876666667,0.89
1120,Banglore,Rabi,2003,Rapeseed & mustard,26.71099476,12.2,43.6,0.534708789,-0.436028615,49.95619546,0.661460944,-0.947306641,14.03769634,0.052482083,-0.6972030790000001,1.510645724,8.818788238,106.9211337,2.821989529,0.32
1696,Indore,Rabi,1997,Wheat,16.55142857,7.5,26.1,-0.039598863,-1.254012741,74.35142857,-0.8401529090000001,-0.349229051,11.87428571,0.29317792600000003,-0.82213994,1.197142857,7.093743826,2.823909668,2.388571429,2.37
1602,Banswara,Whole year,2011,Guar seed,26.08438356,10.9,40.2,-0.19334735100000006,-0.242646774,54.78356164,-0.054892332,-1.419338917,14.78246575,-0.360213635,-0.990542144,,,-0.990542144,2.9156164380000003,0.6
738,Indore,Rabi,2006,Wheat,21.61714286,10.6,31.0,0.220380517,-1.250840009,41.94571429,0.116464746,0.382153358,7.98,0.358794505,-0.927515234,0.08857142900000001,34.40467378,5.845304539,2.062857143,2.51
2150,Bhagalpur,Kharif,2009,Bajra,20.70081301,9.9,34.7,0.661163934,-0.427728387,62.57154472,-0.8595326320000001,-0.5307133629999999,12.03821138,-0.823858057,-0.177137902,,,-0.177137902,2.225203252,1.0
2477,Bhagalpur,Kharif,2004,Jowar,20.70406504,11.0,35.1,0.925967703,1.09845707,72.01219512,-1.393287474,0.509234345,14.74634146,-1.512565547,1.563979472,,,1.563979472,2.219512195,1.0
156,Banglore,Whole year,2006,Turmeric,27.53956044,23.7,31.2,-0.244415225,0.083031256,71.87747253,-0.634148136,-0.177026333,22.01071429,-0.7912916879999999,-0.069284439,2.83021978,4.786319359,24.60194386,5.61510989,5.04
2003,Ahmedabad,Kharif,2004,Arhar/tur,27.93464052,15.7,40.0,0.743458077,0.950262555,68.44052288,-0.919108131,-0.126934293,20.96666667,-1.98698988,3.35498438,5.537908497,4.487041673999999,3.35498438,3.0405228760000003,1.0
1938,Gulberga,Kharif,2011,Sunflower,26.09837398,38.3,20.3,0.538094167,-0.230734857,74.50487805,-0.417417357,-0.612204055,21.19430894,-0.720334958,0.060830446,,,0.060830446,6.360162602000001,0.48
967,Banglore,Kharif,2002,Horse-gram,24.86944444,16.4,37.2,1.821890292,3.190515984,77.2,-1.654097695,2.233512158,20.28425926,-1.895442254,4.010480511,5.396296296,3.849747972,17.56836963,3.766666667,0.62
2350,Gulberga,Rabi,2006,Groundnut,23.81900826,13.3,33.4,0.139891445,-0.625167679,58.81157025,0.199228343,-0.5404039,14.7338843,-1.166599067,1.174443016,0.867768595,7.270779738,1.174443016,2.52231405,0.58
263,Banswara,Rabi,2001,Other  rabi pulses,23.27741935,13.6,31.6,-0.653667407,0.348174878,33.76774194,1.4964258869999998,2.617678551,6.151612902999999,0.6950541240000001,1.518029532,,,1.518029532,2.722580645,0.7
1471,Jalna,Rabi,2006,Sunflower,26.35759162,11.5,41.9,0.36803911,-0.333823772,47.7052356,0.522441673,-0.791648233,13.22443281,-0.052693753,-1.040600236,2.64904014,8.128598947,81.7589545,2.956893543,0.46
